split,session,dialog_id,dialog_idx,turn_id,turn_idx,speaker,emotion_code,emotion,erc_target,utterance,dialog_type,gender
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F000,0,F,neu,neutral,True,Excuse me.,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M000,1,M,fru,frustration,True,Do you have your forms?,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F001,2,F,neu,neutral,True,Yeah.,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M001,3,M,fru,frustration,True,Let me see them.,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F002,4,F,neu,neutral,True,Is there a problem?,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M002,5,M,fru,frustration,True,Who told you to get in this line?,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F003,6,F,xxx,unknown,False,You did.,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F004,7,F,xxx,unknown,False,You were standing at the beginning and you directed me.,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M003,8,M,fru,frustration,True,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F005,9,F,neu,neutral,True,Well what's the problem?  Let me change it.,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M004,10,M,fru,frustration,True,This form is a Z.X.four.,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M005,11,M,fru,frustration,True,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F006,12,F,fru,frustration,True,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,impro,F
train,Session1,Ses01F_impro01,0,Ses01F_impro01_M006,13,M,fru,frustration,True,No. I need another set of ID to prove this is actually you.,impro,M
train,Session1,Ses01F_impro01,0,Ses01F_impro01_F007,14,F,fru,frustration,True,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,impro,F
