split,season,episode,dialog_id,dialog_idx,turn_id,turn_idx,speaker,gender,emotion,utterance
train,8,21,0,0,0,0,Chandler,M,neutral,also I was the point person on my company's transition from the KL-5 to GR-6 system.
train,8,21,0,0,1,1,The Interviewer,U,neutral,You must've had your hands full.
train,8,21,0,0,2,2,Chandler,M,neutral,That I did. That I did.
train,8,21,0,0,3,3,The Interviewer,U,neutral,So let's talk a little bit about your duties.
train,8,21,0,0,4,4,Chandler,M,surprise,My duties?  All right.
train,8,21,0,0,5,5,The Interviewer,U,neutral,"Now you'll be heading a whole division, so you'll have a lot of duties."
train,8,21,0,0,6,6,Chandler,M,neutral,I see.
train,8,21,0,0,7,7,The Interviewer,U,neutral,But there'll be perhaps 30 people under you so you can dump a certain amount on them.
train,8,21,0,0,8,8,Chandler,M,neutral,Good to know.
train,8,21,0,0,9,9,The Interviewer,U,neutral,We can go into detail
train,8,21,0,0,10,10,Chandler,M,fear,No don't I beg of you!
train,8,21,0,0,11,11,The Interviewer,U,neutral,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here."
train,8,21,0,0,12,12,Chandler,M,surprise,Really?!
train,8,21,0,0,13,13,The Interviewer,U,neutral,Absolutely.  You can relax
train,9,23,1,1,0,0,Joey,M,surprise,But then who? The waitress I went out with last month?
train,9,23,1,1,1,1,Rachel,F,sadness,You know? Forget it!
train,9,23,1,1,2,2,Joey,M,surprise,"No-no-no-no, no! Who, who were you talking about?"
train,9,23,1,1,3,3,Rachel,F,fear,"No, I-I-I-I don't, I actually don't know"
train,9,23,1,1,4,4,Joey,M,neutral,Ok!
train,9,23,1,1,5,5,Joey,M,neutral,"All right, well..."
train,9,23,1,1,8,6,Rachel,F,neutral,"Yeah, sure!"
train,3,6,2,2,0,0,Chandler,M,neutral,"Hey, Mon."
train,3,6,2,2,1,1,Monica,F,neutral,Hey-hey-hey. You wanna hear something that sucks.
train,3,6,2,2,2,2,Chandler,M,joy,Do I ever.
train,3,6,2,2,3,3,Monica,F,sadness,Chris says they're closing down the bar.
train,3,6,2,2,4,4,Chandler,M,surprise,No way!
train,3,6,2,2,5,5,Monica,F,neutral,"Yeah, apparently they're turning it into some kinda coffee place."
train,3,6,2,2,6,6,Chandler,M,disgust,Just coffee! Where are we gonna hang out now?
train,3,6,2,2,7,7,Monica,F,sadness,Got me.
train,3,6,2,2,8,8,Chandler,M,neutral,Can I get a beer.
train,3,6,2,2,9,9,Monica,F,neutral,"Hey, did you pick a roommate?"
train,3,6,2,2,10,10,Chandler,M,joy,You betcha!
train,3,6,2,2,11,11,Monica,F,neutral,Is it the Italian guy?
train,3,6,2,2,12,12,Chandler,M,joy,"Um-mm, yeah right!"
train,3,12,3,3,0,0,Phoebe,F,surprise,"Oh my God, oh my God! Poor Monica!"
train,3,12,3,3,1,1,Chandler,M,surprise,"What, what, what?!"
train,3,12,3,3,2,2,Phoebe,F,surprise,What?!
train,3,12,3,3,3,3,Phoebe,F,neutral,He was with her when he wrote this poem.
train,3,12,3,3,4,4,Phoebe,F,neutral,"Look,  'My vessel so empty with nothing inside."
train,3,12,3,3,5,5,Phoebe,F,neutral,"Now that I've touched you, you seem emptier still.'"
train,3,12,3,3,6,6,Phoebe,F,surprise,"He thinks Monica is empty, she is the empty vase!"
train,3,12,3,3,8,7,Phoebe,F,sadness,"Oh, totally. Oh, God, oh, she seemed so happy too."
train,3,12,3,3,9,8,Joey,M,neutral,Done.
train,3,11,4,4,0,0,Rachel,F,surprise,Hey!
train,3,11,4,4,1,1,Ross,M,joy,Hi!
train,3,11,4,4,2,2,Rachel,F,surprise,What are you doing here?
train,3,11,4,4,3,3,Ross,M,neutral,"Ah y'know, this building is on my paper route so I..."
train,3,11,4,4,4,4,Rachel,F,neutral,Oh.
